,ell,TT_out,EE_out,BB_out,TT_in,EE_in,BB_in,wl_TT,wl_EE,wl_BB
194,196,0.00017870575804434694,2.2658824342616845e-08,5.798600541552183e-12,0.00018547100005142966,2.3507481384058338e-08,4.832428877330092e-12,0.015665602218297187,0.01567248829414589,0.01567248829414589
195,197,0.00019344659037549128,2.1780075220859448e-08,5.684880635121949e-12,0.00020086899860978624,2.263018908439397e-08,4.370026513337353e-12,0.015008534984247288,0.015015132235271494,0.015015132235271494
196,198,0.00016613169652427727,2.1734138726155144e-08,4.324467706679492e-12,0.00017285866996752394,2.2618197815409556e-08,3.719218220573243e-12,0.014375868097133072,0.014382187248910857,0.014382187248910857
197,199,0.00013480432994948178,1.925305439780945e-08,4.490177158227106e-12,0.00014028758521587587,2.0036657518327236e-08,3.5522989783411828e-12,0.013766845137497336,0.013772896583110034,0.013772896583110034
198,200,0.000133692235679018,1.3796431994394455e-08,4.5704860091524614e-12,0.000139531142365692,1.4421555499961699e-08,3.5647739348934588e-12,0.013180726397161904,0.013186520204539821,0.013186520204539821
199,201,0.00012839115894976416,1.5961238225360302e-08,3.919060326543292e-12,0.0001342517286738919,1.6667236944324775e-08,2.601440228446986e-12,0.012616788807501634,0.012622334726738243,0.012622334726738243
200,202,0.00010677402833825097,1.2572763196832165e-08,3.288736044216934e-12,0.00011173631638115992,1.3160060880687478e-08,2.35878270613674e-12,0.012074325852877493,0.012079633323505578,0.012079633323505578
201,203,9.844198334322442e-05,1.159655925256329e-08,3.309937246394472e-12,0.0001031435799229044,1.2162864426658388e-08,2.471074237467409e-12,0.01155264746997205,0.01155772562819559,0.01155772562819559
202,204,9.03030338330048e-05,1.1474509588872442e-08,2.7207990662351714e-12,9.490993939419688e-05,1.2076031871871522e-08,2.1228618573775495e-12,0.011051079933760333,0.011055937619636276,0.011055937619636276
203,205,7.831894857553183e-05,1.1136717839618519e-08,2.825063498904544e-12,8.251566048014083e-05,1.1737479621740045e-08,2.1537402938527526e-12,0.010568965730837675,0.01057361149540202,0.01057361149540202
204,206,6.889972288255711e-05,9.224654537669448e-09,2.3520999532881015e-12,7.266043963137624e-05,9.755065633336528e-09,1.7253016130941377e-12,0.010105663420814016,0.010110105533146979,0.010110105533146979
205,207,6.669029495115924e-05,7.968141966658784e-09,2.6231626289423143e-12,7.052734642850853e-05,8.407734299175942e-09,1.7879906400276813e-12,0.009660547486471525,0.00966479394069683,0.00966479394069683
206,208,6.522910208601326e-05,6.248762108548753e-09,2.1009796854619886e-12,6.91447141084306e-05,6.6318237330424876e-09,1.4213994431167141e-12,0.0092330081733687,0.009237066695582373,0.009237066695582373
207,209,5.155836469385052e-05,6.627075496406729e-09,1.812672555009679e-12,5.478038265731631e-05,7.0296928372397196e-09,1.200298393142252e-12,0.008822451319560444,0.00882632937468475,0.00882632937468475
208,210,4.460480770470427e-05,6.856440982633436e-09,1.579121648492577e-12,4.746392212678845e-05,7.295949378729936e-09,1.0964529973535331e-12,0.00842829817608879,0.008432002974647268,0.008432002974647268
209,211,5.0700087607465945e-05,5.4663877861683196e-09,1.8841802019993475e-12,5.404024785001577e-05,5.831026151754901e-09,1.1464971234748744e-12,0.008049985218883966,0.008053523723693785,0.008053523723693785
210,212,3.949019179495579e-05,5.1080833851926285e-09,1.5249743624901195e-12,4.222547426921483e-05,5.455024886057498e-09,9.78475692407916e-13,0.007686963952700297,0.007690342885478427,0.007690342885478427
211,213,3.8937352688154415e-05,5.282834463845874e-09,1.4371920685175e-12,4.1708150328681714e-05,5.660236155361753e-09,9.25509722290808e-13,0.0073387007076951205,0.007341926555575077,0.007341926555575077
212,214,2.9835404724712814e-05,4.414778531420402e-09,1.347838276127455e-12,3.210235749802344e-05,4.7466705088596175e-09,8.4640907983217e-13,0.007004676429243173,0.0070077554511993835,0.0070077554511993835
213,215,3.204200011778864e-05,3.751163236097953e-09,1.1314931378335958e-12,3.453384785458088e-05,4.046268671120957e-09,7.09148839845479e-13,0.0066843864615620694,0.006687324694739125,0.006687324694739125
214,216,2.6922808225149165e-05,3.3100374729294593e-09,1.1902052488707918e-12,2.920768588413809e-05,3.593318505646527e-09,6.748266846849707e-13,0.0063773403257080825,0.006380143591652403,0.006380143591652403
215,217,2.5720232032114125e-05,3.2202126796657685e-09,1.1624726930763617e-12,2.790993716010608e-05,3.495495775403199e-09,6.53139912538748e-13,0.006083061492484164,0.006085735403275838,0.006085735403275838
216,218,2.464145757455096e-05,2.809625629909514e-09,9.795262869836701e-13,2.6911693219785445e-05,3.061414890873524e-09,5.127896570573287e-13,0.005801087150785434,0.005803637115068237,0.005803637115068237
217,219,1.997593533838108e-05,2.649691474343081e-09,9.928761221969744e-13,2.1867168676005627e-05,2.9066523430954428e-09,5.039404257445835e-13,0.005530967971889828,0.0055333992007976255,0.0055333992007976255
218,220,1.5496367039842434e-05,2.266869751395215e-09,8.474016664263489e-13,1.7103000066085536e-05,2.487971525129041e-09,4.1914148857228873e-13,0.005272267870184553,0.005274585383162533,0.005274585383162533
219,221,1.555754577336329e-05,2.1291389740365662e-09,9.209756138793136e-13,1.716663936495672e-05,2.3448261734881894e-09,4.4692964092959294e-13,0.005024563760801519,0.005026772391320882,0.005026772391320882
220,222,1.4397698321719572e-05,2.054874990482098e-09,8.020895922294562e-13,1.592988714324878e-05,2.272729954374536e-09,3.577473456678489e-13,0.004787445314617628,0.004789549715782588,0.004789549715782588
221,223,1.1510906230692291e-05,1.7941777486458886e-09,8.653806100711558e-13,1.2811608987364648e-05,2.0044355880583777e-09,4.1194077932609145e-13,0.0045605147110584785,0.004562519361104603,0.004562519361104603
222,224,1.0086800650017573e-05,1.9481408599638406e-09,6.801603372765391e-13,1.1330055995324573e-05,2.1830101058545237e-09,2.8633751587137244e-13,0.004343386389126839,0.004345295596809951,0.004345295596809951
223,225,9.98267305823593e-06,1.666402444398513e-09,7.260668775324368e-13,1.1226888608188113e-05,1.8794146123975457e-09,3.6215786216052513e-13,0.004135686797059915,0.004137504706934952,0.004137504706934952
224,226,9.372440539159276e-06,1.4605018829866714e-09,6.071376454454109e-13,1.0577624819323304e-05,1.655821173906264e-09,2.4523512960449395e-13,0.00393705414100264,0.003938784738592035,0.003938784738592035
225,227,8.021712270317859e-06,1.4494116969440813e-09,6.0304062832908e-13,9.139520876763273e-06,1.6456080285546716e-09,2.9191137308060766e-13,0.003747138133066998,0.0037487852499183206,0.0037487852499183206
226,228,7.51675689954281e-06,1.3574582477904104e-09,5.379724568003097e-13,8.620250894824799e-06,1.5630175119570848e-09,1.8532056618095745e-13,0.0035655997391309444,0.003567167057763681,0.003567167057763681
227,229,6.254951742266578e-06,1.1760266728775758e-09,5.258193066820278e-13,7.2093603447475634e-06,1.3539622387040005e-09,2.314597794929493e-13,0.0033921109267137264,0.003393601985455234,0.003393601985455234
228,230,5.605180653236146e-06,9.090183586283583e-10,4.736464838493584e-13,6.482006765580648e-06,1.0534436022890345e-09,1.534617390582143e-13,0.0032263544132481873,0.003227772610958996,0.003227772610958996
229,231,5.4571912065352525e-06,1.008044478627523e-09,5.107874380886639e-13,6.3929163138399115e-06,1.1735699113160656e-09,2.327933145536761e-13,0.003068023415054554,0.003069372015743329,0.003069372015743329
230,232,4.182695124990019e-06,9.253413633126545e-10,4.4926519528417297e-13,4.916455800202704e-06,1.0933085660957384e-09,1.3973555113634638e-13,0.002916821397304258,0.0029181035346328506,0.0029181035346328506
231,233,3.6650756937626605e-06,9.006941230191876e-10,4.823307687027064e-13,4.33574599507754e-06,1.0667519678258688e-09,2.1071985026457958e-13,0.0027724618252469844,0.002773680506926134,0.002773680506926134
232,234,3.5579137983115215e-06,7.467512410526654e-10,4.664033682880754e-13,4.272728165571146e-06,8.905875232717674e-10,1.2402047023501422e-13,0.0026346679169586425,0.0026358260290349936,0.0026358260290349936
233,235,3.2881826514562352e-06,7.319409982537065e-10,4.760043800304766e-13,3.961997903486887e-06,8.878854998857213e-10,1.7143408603913686e-13,0.0025031723978532045,0.002504272708888414,0.002504272708888414
